yy,mm,lat5,lon5,cwp_grid,days,skj_c,yft_c,oth_c
1951,2,"25N","125E","61250012500",0,0.000,0.000,0.000
1951,2,"25N","130E","61250013000",0,0.000,0.000,0.000
1951,2,"25N","135E","61250013500",0,0.000,0.000,0.000
1951,2,"25N","140E","61250014000",0,0.000,0.000,0.000
1951,2,"25N","145E","61250014500",0,0.000,0.000,0.000
1951,2,"30N","125E","61300012500",0,0.000,0.000,0.000
1951,2,"30N","130E","61300013000",0,0.000,0.000,0.000
1951,2,"30N","135E","61300013500",0,0.000,0.000,0.000
1951,2,"30N","140E","61300014000",0,0.000,0.000,0.000
1951,2,"30N","145E","61300014500",0,0.000,0.000,0.000
1951,2,"30N","155E","61300015500",0,0.000,0.000,0.000
1951,2,"35N","145E","61350014500",0,0.000,0.000,0.000
1951,3,"20N","120E","61200012000",0,0.000,0.000,0.000
1951,3,"20N","125E","61200012500",0,0.000,0.000,0.000
1951,3,"20N","130E","61200013000",0,0.000,0.000,0.000
1951,3,"20N","135E","61200013500",0,0.000,0.000,0.000
1951,3,"20N","140E","61200014000",0,0.000,0.000,0.000
1951,3,"20N","145E","61200014500",0,0.000,0.000,0.000
1951,3,"20N","150E","61200015000",0,0.000,0.000,0.000
1951,3,"20N","155E","61200015500",0,0.000,0.000,0.000
1951,3,"25N","125E","61250012500",0,0.000,0.000,0.000
1951,3,"25N","130E","61250013000",0,0.000,0.000,0.000
1951,3,"25N","135E","61250013500",0,0.000,0.000,0.000
1951,3,"25N","140E","61250014000",0,0.000,0.000,0.000
1951,3,"25N","145E","61250014500",0,0.000,0.000,0.000
1951,3,"25N","150E","61250015000",0,0.000,0.000,0.000
1951,3,"30N","125E","61300012500",0,0.000,0.000,0.000
1951,3,"30N","130E","61300013000",0,0.000,0.000,0.000
1951,3,"30N","135E","61300013500",0,0.000,0.000,0.000
1951,3,"30N","140E","61300014000",0,0.000,0.000,0.000
1951,3,"30N","145E","61300014500",0,0.000,0.000,0.000
1951,3,"30N","150E","61300015000",0,0.000,0.000,0.000
1951,3,"30N","155E","61300015500",0,0.000,0.000,0.000
1951,3,"30N","160E","61300016000",0,0.000,0.000,0.000
1951,3,"40N","155E","61400015500",0,0.000,0.000,0.000
1951,3,"45N","155E","61450015500",0,0.000,0.000,0.000
1951,4,"20N","115E","61200011500",0,0.000,0.000,0.000
1951,4,"20N","120E","61200012000",0,0.000,0.000,0.000
1951,4,"20N","125E","61200012500",0,0.000,0.000,0.000
1951,4,"20N","130E","61200013000",0,0.000,0.000,0.000
1951,4,"20N","135E","61200013500",0,0.000,0.000,0.000
1951,4,"20N","140E","61200014000",0,0.000,0.000,0.000
1951,4,"20N","145E","61200014500",0,0.000,0.000,0.000
1951,4,"20N","150E","61200015000",0,0.000,0.000,0.000
1951,4,"20N","155E","61200015500",0,0.000,0.000,0.000
1951,4,"20N","160E","61200016000",0,0.000,0.000,0.000
1951,4,"25N","120E","61250012000",0,0.000,0.000,0.000
1951,4,"25N","125E","61250012500",0,0.000,0.000,0.000
1951,4,"25N","130E","61250013000",66,242.709,0.000,0.000
1951,4,"25N","135E","61250013500",97,197.090,3.838,0.000
1951,4,"25N","140E","61250014000",136,253.044,10.854,0.000
1951,4,"25N","145E","61250014500",0,0.000,0.000,0.000
1951,4,"25N","150E","61250015000",0,0.000,0.000,0.000
1951,4,"25N","155E","61250015500",0,0.000,0.000,0.000
